event_key,match_key,status,team,alliance,opr,copr_adjustPoints,copr_autoTowerPoints,copr_endGameTowerPoints,copr_energizedAchieved,copr_foulPoints,copr_g206Penalty,copr_majorFoulCount,copr_minorFoulCount,copr_rp,copr_superchargedAchieved,copr_totalAutoPoints,copr_totalPoints,copr_totalTeleopPoints,copr_totalTowerPoints,copr_traversalAchieved
2026orsal,2026orsal_qm1,,7034,red,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,2.333333333333333,8.0,5.666666666666668,0.0,0.0
2026orsal,2026orsal_qm1,,10991,red,8.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,2.3333333333333335,8.000000000000002,5.666666666666668,0.0,0.0
2026orsal,2026orsal_qm1,,9438,red,8.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,2.3333333333333335,8.000000000000002,5.666666666666668,0.0,0.0
2026orsal,2026orsal_qm1,,2521,blue,36.33333333333334,0.0,0.0,0.0,0.3333333333333334,1.666666666666667,0.0,0.0,0.0,1.3333333333333337,0.0,10.333333333333336,36.33333333333334,24.33333333333334,0.0,0.0
2026orsal,2026orsal_qm1,,4125,blue,36.33333333333334,0.0,0.0,0.0,0.3333333333333334,1.666666666666667,0.0,0.0,0.0,1.3333333333333337,0.0,10.333333333333336,36.33333333333334,24.33333333333334,0.0,0.0
2026orsal,2026orsal_qm1,,6845,blue,36.33333333333334,0.0,0.0,0.0,0.3333333333333334,1.666666666666667,0.0,0.0,0.0,1.3333333333333337,0.0,10.333333333333336,36.33333333333334,24.33333333333334,0.0,0.0
2026orsal,2026orsal_qm2,,846,red,79.00000000000003,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,1.3333333333333337,0.0,20.000000000000004,79.00000000000003,59.000000000000014,0.0,0.0
2026orsal,2026orsal_qm2,,997,red,79.00000000000003,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,1.3333333333333337,0.0,20.000000000000004,79.00000000000003,59.000000000000014,0.0,0.0
2026orsal,2026orsal_qm2,,9430,red,79.00000000000003,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,1.3333333333333337,0.0,20.000000000000004,79.00000000000003,59.000000000000014,0.0,0.0
2026orsal,2026orsal_qm2,,4043,blue,38.000000000000014,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,7.000000000000002,38.000000000000014,31.000000000000007,0.0,0.0
2026orsal,2026orsal_qm2,,749,blue,38.000000000000014,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,7.000000000000002,38.000000000000014,31.000000000000007,0.0,0.0
2026orsal,2026orsal_qm2,,2926,blue,38.000000000000014,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,7.000000000000002,38.000000000000014,31.000000000000007,0.0,0.0
2026orsal,2026orsal_qm3,,3674,red,41.66666666666668,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,7.333333333333336,41.66666666666668,34.33333333333334,0.0,0.0
2026orsal,2026orsal_qm3,,753,red,41.66666666666668,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,7.333333333333336,41.66666666666668,34.33333333333334,0.0,0.0
2026orsal,2026orsal_qm3,,5920,red,41.66666666666668,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,7.333333333333336,41.66666666666668,34.33333333333334,0.0,0.0
2026orsal,2026orsal_qm3,,5468,blue,96.6666666666667,0.0,0.0,3.333333333333334,0.3333333333333334,0.0,0.0,0.0,0.0,1.3333333333333337,0.0,25.33333333333334,96.6666666666667,71.33333333333334,3.333333333333334,0.0
2026orsal,2026orsal_qm3,,1540,blue,96.6666666666667,0.0,0.0,3.333333333333334,0.3333333333333334,0.0,0.0,0.0,0.0,1.3333333333333337,0.0,25.33333333333334,96.6666666666667,71.33333333333334,3.333333333333334,0.0
2026orsal,2026orsal_qm3,,3024,blue,96.6666666666667,0.0,0.0,3.333333333333334,0.3333333333333334,0.0,0.0,0.0,0.0,1.3333333333333337,0.0,25.33333333333334,96.6666666666667,71.33333333333334,3.333333333333334,0.0
2026orsal,2026orsal_qm4,,9023,red,23.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,7.000000000000002,23.33333333333334,16.333333333333336,0.0,0.0
2026orsal,2026orsal_qm4,,847,red,23.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,7.000000000000002,23.33333333333334,16.333333333333336,0.0,0.0
2026orsal,2026orsal_qm4,,1359,red,23.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,7.000000000000002,23.33333333333334,16.333333333333336,0.0,0.0
2026orsal,2026orsal_qm4,,4692,blue,12.66666666666667,0.0,0.0,3.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666674,12.66666666666667,10.000000000000002,3.333333333333334,0.0
2026orsal,2026orsal_qm4,,2733,blue,12.66666666666667,0.0,0.0,3.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666674,12.66666666666667,10.000000000000002,3.333333333333334,0.0
2026orsal,2026orsal_qm4,,8532,blue,12.66666666666667,0.0,0.0,3.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666674,12.66666666666667,10.000000000000002,3.333333333333334,0.0
2026orsal,2026orsal_qm5,,955,red,28.666666666666675,0.0,0.0,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.0000000000000002,0.0,8.66666666666667,28.666666666666675,18.33333333333334,0.0,0.0
2026orsal,2026orsal_qm5,,3673,red,28.666666666666675,0.0,0.0,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.0000000000000002,0.0,8.66666666666667,28.666666666666675,18.33333333333334,0.0,0.0
2026orsal,2026orsal_qm5,,2811,red,28.666666666666675,0.0,0.0,0.0,0.0,1.666666666666667,0.0,0.0,0.0,1.0000000000000002,0.0,8.66666666666667,28.666666666666675,18.33333333333334,0.0,0.0
2026orsal,2026orsal_qm5,,9567,blue,17.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,3.333333333333334,17.000000000000004,13.66666666666667,0.0,0.0
2026orsal,2026orsal_qm5,,6443,blue,17.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,3.333333333333334,17.000000000000004,13.66666666666667,0.0,0.0
2026orsal,2026orsal_qm5,,4060,blue,17.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,3.333333333333334,17.000000000000004,13.66666666666667,0.0,0.0
2026orsal,2026orsal_qm6,,3712,red,22.000000000000004,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,2.666666666666667,22.000000000000004,17.666666666666668,0.0,0.0
2026orsal,2026orsal_qm6,,6343,red,22.000000000000004,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,2.666666666666667,22.000000000000004,17.666666666666668,0.0,0.0
2026orsal,2026orsal_qm6,,6465,red,22.000000000000004,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,2.666666666666667,22.000000000000004,17.666666666666668,0.0,0.0
2026orsal,2026orsal_qm6,,2374,blue,5.749999999999999,0.0,0.0,-1.25,0.24999999999999992,0.0,0.0,0.0,0.3749999999999999,0.9999999999999998,0.0,2.1249999999999982,5.749999999999999,3.624999999999989,-1.25,0.0
2026orsal,2026orsal_qm6,,4061,blue,5.749999999999999,0.0,0.0,-1.25,0.24999999999999992,0.0,0.0,0.0,0.3749999999999999,0.9999999999999998,0.0,2.1249999999999982,5.749999999999999,3.624999999999989,-1.25,0.0
2026orsal,2026orsal_qm6,,3024,blue,100.49999999999994,0.0,0.0,2.4999999999999987,0.4999999999999998,0.0,0.0,0.0,0.24999999999999983,1.999999999999999,0.0,26.749999999999982,100.49999999999994,73.74999999999997,2.4999999999999987,0.0
2026orsal,2026orsal_qm7,,846,red,96.32360097323604,0.0,0.0,-1.3625304136253036,0.5279805352798057,-2.2293106433209966e-18,0.0,0.0,0.00729927007299276,1.768856447688565,0.0,22.90267639902676,96.32360097323604,73.42092457420928,-1.3625304136253036,0.0
2026orsal,2026orsal_qm7,,1359,red,54.68613138686134,0.0,0.0,-0.6082725060827253,0.2773722627737225,-2.057891247752039e-16,0.0,0.0,-0.01459854014598539,1.7956204379562037,0.0,14.527980535279807,54.68613138686134,40.1581508515815,-0.6082725060827253,0.0
2026orsal,2026orsal_qm7,,4692,red,29.990267639902775,0.0,0.0,1.9708029197080301,0.19464720194647253,2.0846429754718907e-16,0.0,0.0,0.007299270072992761,0.4355231143552331,0.0,5.5693430656934435,29.990267639902775,24.420924574209316,1.9708029197080301,0.0
2026orsal,2026orsal_qm7,,847,blue,-13.386861313868614,0.0,0.0,-0.8272506082725081,-0.26277372262773707,-2.2585292056509245e-16,0.0,0.0,0.04014598540145989,0.06204379562043755,0.0,-3.7019464720194626,-13.386861313868614,-9.68491484184916,-0.8272506082725081,0.0
2026orsal,2026orsal_qm7,,5468,blue,68.4452554744526,0.0,0.0,2.335766423357663,0.09489051094890555,3.9726315663979914e-16,0.0,0.0,-0.0839416058394159,0.32481751824817706,0.0,15.952554744525557,68.4452554744526,52.492700729927044,2.335766423357663,0.0
