key,comp_level,set_number,match_number,team_key,r1,r2,r3,b1,b2,b3,alliance,scouterName,a_startPos,a_hit_robot,a_Climb,a_sideClimb,a_scoringTime,a_scoringTime_segments,a_ferryTime,a_ferryTime_segments,a_planner,a_hit_fieldPart,time_broken,t_scoringTime,t_scoringTime_segments,t_NZferryTime,t_NZferryTime_segments,t_OZferryTime,t_OZferryTime_segments,time_beached,end_Climb,end_sideClimb,defense_NZ,defense_AZ,defense_OZ,defense_bumpTrench,defense_skill,drive_skill,alliance_rank,a_Notes,active_Notes,inactive_Notes,ba_redscore,ba_score,ba_bluescore,ba_winning_alliance,ba_adjustPoints,ba_autoTowerPoints,ba_autoTowerRobot1,ba_autoTowerRobot2,ba_autoTowerRobot3,ba_endGameTowerPoints,ba_endGameTowerRobot1,ba_endGameTowerRobot2,ba_endGameTowerRobot3,ba_energizedAchieved,ba_foulPoints,ba_g206Penalty,ba_majorFoulCount,ba_minorFoulCount,ba_penalties,ba_rp,ba_superchargedAchieved,ba_totalAutoPoints,ba_totalPoints,ba_totalTeleopPoints,ba_totalTowerPoints,ba_traversalAchieved
2026pncmp_qm10,qm,1,10,frc4915,frc2976,frc2522,frc955,frc3218,frc4915,frc4488,blue,Anders H,outpostWall5,0,0,0,5.459,"{""version"":1,""segments"":[{""start"":1775772229481,""stop"":1775772234940}]}",0,"{""version"":1,""segments"":[]}",Auto 1,0,0,34.787,"{""version"":1,""segments"":[{""start"":1775772250915,""stop"":1775772257908},{""start"":1775772276331,""stop"":1775772289731},{""start"":1775772297216,""stop"":1775772298943},{""start"":1775772326324,""stop"":1775772330639},{""start"":1775772331282,""stop"":1775772331551},{""start"":1775772334584,""stop"":1775772334923},{""start"":1775772350647,""stop"":1775772352404},{""start"":1775772361790,""stop"":1775772364485},{""start"":1775772375144,""stop"":1775772378268},{""start"":1775772381187,""stop"":1775772381355}]}",8.052,"{""version"":1,""segments"":[{""start"":1775772258743,""stop"":1775772262827},{""start"":1775772265281,""stop"":1775772265378},{""start"":1775772265441,""stop"":1775772265681},{""start"":1775772266415,""stop"":1775772268500},{""start"":1775772305569,""stop"":1775772305635},{""start"":1775772307839,""stop"":1775772308718},{""start"":1775772317542,""stop"":1775772318143}]}",0.478,"{""version"":1,""segments"":[{""start"":1775772311179,""stop"":1775772311657}]}",0,0,0,0,0,0,0,x,1,3,"shot really fast and consistent, very fast intake with large hopper. ","very very accurate, spends a long time shooting because theyre intake is very fast. can shoot on the move. ",ferried from all zones very efficiently with constant shooting and intaking. ,385,418,418,blue,0,0,None,None,None,0,None,None,None,1,0,0,1,1,None,5,1,61,418,357,0,0
2026pncmp_qm10,qm,1,10,frc4488,frc2976,frc2522,frc955,frc3218,frc4915,frc4488,blue,,depotWall1,0,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",,0,0,0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,"{""version"":1,""segments"":[]}",0,0,0,0,0,0,0,x,x,1,,,,385,418,418,blue,0,0,None,None,None,0,None,None,None,1,0,0,1,1,None,5,1,61,418,357,0,0
2026pncmp_qm100,qm,1,100,frc1983,frc1983,frc10079,frc4488,frc5937,frc6696,frc1425,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
2026pncmp_qm100,qm,1,100,frc10079,frc1983,frc10079,frc4488,frc5937,frc6696,frc1425,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
2026pncmp_qm100,qm,1,100,frc4488,frc1983,frc10079,frc4488,frc5937,frc6696,frc1425,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
2026pncmp_qm100,qm,1,100,frc5937,frc1983,frc10079,frc4488,frc5937,frc6696,frc1425,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
2026pncmp_qm100,qm,1,100,frc6696,frc1983,frc10079,frc4488,frc5937,frc6696,frc1425,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
2026pncmp_qm100,qm,1,100,frc1425,frc1983,frc10079,frc4488,frc5937,frc6696,frc1425,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,
2026pncmp_qm11,qm,1,11,frc1318,frc1318,frc10991,frc2374,frc997,frc2521,frc10079,red,naman p,outpostWall5,0,0,0,3.24,"{""version"":1,""segments"":[{""start"":1775772752529,""stop"":1775772755769}]}",0,"{""version"":1,""segments"":[]}",,0,0,22.112,"{""version"":1,""segments"":[{""start"":1775772767057,""stop"":1775772768919},{""start"":1775772769230,""stop"":1775772770043},{""start"":1775772796578,""stop"":1775772799299},{""start"":1775772812779,""stop"":1775772814518},{""start"":1775772846814,""stop"":1775772850378},{""start"":1775772860076,""stop"":1775772864369},{""start"":1775772870234,""stop"":1775772873479},{""start"":1775772873888,""stop"":1775772874688},{""start"":1775772883933,""stop"":1775772886050},{""start"":1775772897365,""stop"":1775772898323}]}",5.376,"{""version"":1,""segments"":[{""start"":1775772773601,""stop"":1775772775497},{""start"":1775772785434,""stop"":1775772785961},{""start"":1775772786650,""stop"":1775772788439},{""start"":1775772836102,""stop"":1775772837266}]}",0,"{""version"":1,""segments"":[]}",0,0,0,0,0,0,0,x,.5,1,decent auto with a substantial amount o fuel scored,they were great at shooting and also displayed high accuracy,they were very effective at ferrying,181,181,268,blue,0,0,None,None,None,0,None,None,None,0,0,0,0,0,None,0,0,38,181,143,0,0
2026pncmp_qm11,qm,1,11,frc10991,frc1318,frc10991,frc2374,frc997,frc2521,frc10079,red,James H,depotWall1,0,0,0,2.887,"{""version"":1,""segments"":[{""start"":1775772743649,""stop"":1775772744573},{""start"":1775772756504,""stop"":1775772758467}]}",1.125,"{""version"":1,""segments"":[{""start"":1775772753124,""stop"":1775772754249}]}",Auto 1,0,0,5.547,"{""version"":1,""segments"":[{""start"":1775772801523,""stop"":1775772803192},{""start"":1775772806663,""stop"":1775772806869},{""start"":1775772809034,""stop"":1775772809218},{""start"":1775772814596,""stop"":1775772815751},{""start"":1775772822311,""stop"":1775772822561},{""start"":1775772862769,""stop"":1775772862945},{""start"":1775772866258,""stop"":1775772867424},{""start"":1775772867517,""stop"":1775772867533},{""start"":1775772898467,""stop"":1775772898551},{""start"":1775772899729,""stop"":1775772900093},{""start"":1775772903953,""stop"":1775772904230}]}",1.609,"{""version"":1,""segments"":[{""start"":1775772780152,""stop"":1775772780826},{""start"":1775772787342,""stop"":1775772788277}]}",1.809,"{""version"":1,""segments"":[{""start"":1775772835713,""stop"":1775772836518},{""start"":1775772838062,""stop"":1775772838456},{""start"":1775772841916,""stop"":1775772842526}]}",0,0,0,0,0,1,0,0,0,1,has an average auto,didn't intake very quickly or effectively,They had a strategy to get fuel into their zone by having one robot push fuel in front of them to then push into their zone via the trench.,181,181,268,blue,0,0,None,None,None,0,None,None,None,0,0,0,0,0,None,0,0,38,181,143,0,0
2026pncmp_qm11,qm,1,11,frc2374,frc1318,frc10991,frc2374,frc997,frc2521,frc10079,red,Adam M,middle3,0,0,0,2.141,"{""version"":1,""segments"":[{""start"":1775772752376,""stop"":1775772754265},{""start"":1775772755028,""stop"":1775772755218},{""start"":1775772756281,""stop"":1775772756343}]}",0,"{""version"":1,""segments"":[]}",,0,0,16.13,"{""version"":1,""segments"":[{""start"":1775772802126,""stop"":1775772806829},{""start"":1775772812553,""stop"":1775772813572},{""start"":1775772852713,""stop"":1775772854260},{""start"":1775772854757,""stop"":1775772854959},{""start"":1775772855550,""stop"":1775772855878},{""start"":1775772856308,""stop"":1775772856474},{""start"":1775772858647,""stop"":1775772859676},{""start"":1775772866450,""stop"":1775772869367},{""start"":1775772870708,""stop"":1775772871229},{""start"":1775772899340,""stop"":1775772903038}]}",1.79,"{""version"":1,""segments"":[{""start"":1775772783333,""stop"":1775772783359},{""start"":1775772783492,""stop"":1775772783531},{""start"":1775772783652,""stop"":1775772783701},{""start"":1775772783832,""stop"":1775772784521},{""start"":1775772784831,""stop"":1775772785000},{""start"":1775772789716,""stop"":1775772789795},{""start"":1775772794531,""stop"":1775772794590},{""start"":1775772800763,""stop"":1775772800865},{""start"":1775772849194,""stop"":1775772849772}]}",0,"{""version"":1,""segments"":[]}",0,0,0,0,0,0,0,x,0,1,"decent auto, scored one load of fuel","good shooting, accurate, decent amount of fuel held in the hopper","little ferrying, and good collecting to the alliance zone",181,181,268,blue,0,0,None,None,None,0,None,None,None,0,0,0,0,0,None,0,0,38,181,143,0,0
